Items,Sept 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,June 2022,July 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Totals,Comments
Emma Bus Fees,,,,,,,,,,,,,,,,,,,"1,000",,,,,0,0,0,0,,,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",0,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",,,"2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","21,150",
OTT Subscriptions ,,,,,,,,,,,,,,,,,,,,,"13,910",,,,,,,,,,,,,,,300,300,300,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Tour,,,,,,,,,,"5,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
House Help (Maid) ,,,,,,,,,,,,,,,,,,,,,,"3,000","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
House Help (Cook) ,,,,,,,,,,,,,,,,,,,,,,"3,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Home (Furniture) ,,,,,,,,,,,,,,,,,,"26,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Fuel (Petrol),,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,"5,000","9,118","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","2,000","5,000","5,000",,,,,,,,,,,,,,"57,000",
Purchases,,,,,2000,,,,,"14,900",,,,,,"11,000",,,,"52,019",,,,,,,,,,,2316,,,,,"2,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Jeep Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000","3,000","3,000","3,000","3,000",,,,,,,"25,000",,,,,,,,,,,,"25,000",,,,,,,,,,,,"25,000",
Jeep Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,154",,,,,,,,,,,,"31,154",,,,,,,,,,,,
Slavia Maitenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slavia Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,243",,,,,,,,,,,,"17,243",,,,,,,,,,
Car Parking Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500","1,500","1,500","1,500","1,500","1,500",,,,,,,,,,,,,,,,
Car Pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Car Expenses,,,,,,,,,,"10,874",,,,,,"5,920",,,,5000,"10,000",,,,,,,"5,920",,,,,,,,"3,000","27,518","20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Car Cleaning,,,,,,,,,,,,,,,,,500,0,500,,500,400,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Scooter Insurance,,,,,,,,,,,,,,,,"2,480",,,,,,,,,,,,"2,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Personal Grooming,,,,,,,,,,,,,,,,,"4,650",,250,,250,,,,250,250,,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
